"region" "E" "Y" "x"
382 1.4028967549 0 62
383 3.7719895179 7 81
384 1.2163166482 0 72
385 1.9474138481 2 61
386 3.2914555251 2 63
387 2.555203274 3 70
388 5.2892008749 8 69
389 5.6393453657 4 60
390 4.7569327674 8 59
391 2.5644638737 3 52
392 2.9031302558 1 69
393 2.0671302286 1 66
394 4.259349749 4 56
395 2.9726553289 2 62
396 3.3649853888 3 75
397 5.0426619774 4 63
398 1.3571256038 1 59
399 2.6507223314 2 53
400 5.9258390531 8 76
401 2.6374755459 6 75
402 1.7748746643 2 78
403 1.211013115 0 63
404 2.0446603575 2 40
405 2.3999903347 5 63
406 3.5296665698 6 65
407 3.9336405319 3 63
408 2.3879504015 3 57
409 4.4764013691 3 64
410 26.616327022 19 42
411 43.415532588 32 26
412 6.3532224838 3 52
413 46.32734024 39 45
414 6.7074391597 3 64
415 10.661313566 12 67
416 7.269261253 9 56
417 10.841778211 12 82
418 6.9448240828 4 65
419 10.271312948 6 36
420 5.9071237584 8 33
421 7.5676978786 6 56
422 3.3468431719 6 42
423 10.514646825 5 32
424 4.3931132253 5 49
425 4.0656361817 4 26
426 8.3531016824 7 45
427 10.228135708 5 22
428 4.1381259142 4 59
429 4.8625327305 4 39
430 7.1344562807 5 55
431 7.8240450246 7 31
432 3.2678833315 4 49
433 6.2853596673 7 55
434 2.5866470079 1 49
435 5.760409599 4 47
436 3.4569598586 5 47
437 5.9836878254 8 37
438 5.9482716031 6 52
439 8.0841147139 7 72
440 5.0686474745 3 26
441 3.3930180654 3 60
442 13.553612578 13 47
443 8.7065743249 12 43
444 5.8412877774 4 15
445 10.590899371 7 44
446 3.3496101676 4 47
447 2.3492580416 0 56
448 4.4290567617 5 49
449 10.518519988 3 39
450 1.4472044966 0 47
451 5.4106513106 2 54
452 8.0461577734 7 53
453 4.9216731751 4 21
454 4.8660162102 9 63
455 4.4925438165 4 52
456 7.9383601756 4 41
457 4.5039910785 5 49
458 4.0350859888 4 55
459 6.8743187311 7 53
460 4.5714818337 4 37
461 8.1841450211 5 32
462 5.179162119 2 49
463 8.1904327829 6 50
464 8.7968338848 6 68
465 24.412289161 21 59
466 23.109381236 14 68
467 5.7787379536 6 52
468 6.837040904 7 55
469 11.057072242 9 67
470 5.3375325255 4 56
471 7.0704457821 4 72
472 3.1833186006 6 66
473 3.2239330465 3 59
474 3.268841847 2 61
475 7.74274061 7 49
476 5.0598747362 3 34
477 1.6960405649 3 46
478 5.0444501165 3 53
479 2.7289028991 3 76
480 2.7132811864 1 46
481 2.5633018398 2 61
482 7.0185751842 6 82
483 11.357029046 9 61
484 4.7961100454 4 54
485 2.5349462415 1 54
486 3.880538846 7 59
487 3.6066579049 8 77
488 7.608784579 8 48
489 2.7985075523 2 66
490 3.242396522 1 55
491 6.1742897421 8 69
492 3.6905279028 4 52
493 6.7638376276 5 58
494 7.2982691096 5 61
495 6.1372922972 2 56
496 7.3960622163 6 47
497 3.6405773717 1 33
498 6.1333333832 4 55
499 8.6957248601 4 27
500 7.7945906794 4 72
501 2.3544959534 0 47
502 7.4559170482 6 65
503 3.3426715993 5 50
504 16.304714755 5 49
505 10.190396181 12 52
506 8.0959167395 6 40
507 3.8401756105 2 33
508 5.120402549 3 57
509 9.291810034 9 60
510 4.0186671948 6 47
511 5.5591380209 3 35
512 4.6352361215 4 32
513 7.4773558828 4 33
514 9.9446073478 9 49
515 2.9259303417 2 60
516 2.4761716108 0 53
517 5.3849891669 5 54
518 12.284080416 6 48
519 5.2224902092 5 63
520 3.225492235 2 42
521 4.9582857676 4 46
522 5.665716979 3 55
523 2.8966576716 2 55
524 3.9543432337 3 41
525 2.419325998 1 66
526 5.5703029073 4 40
527 7.6052312503 7 31
528 3.3903532173 3 62
529 9.5530137701 8 34
530 4.5650552936 2 46
531 5.9980765694 6 52
532 5.0442775471 6 70
533 1.8199606607 0 48
534 5.7109444642 1 41
535 2.9397864311 2 47
536 5.2848032891 6 54
537 4.6811713013 9 27
538 5.3195503409 4 43
539 2.7446999293 1 49
540 4.1177302656 2 45
541 2.2779748292 0 51
542 5.4213876977 7 27
543 3.513430196 2 45
