"East" "South" "Altitude" "jan01" "jan02" "jan03" "jan04" "jan05" "jan06" "jan07" "jan08" "jan09" "jan10" "jan11" "jan12" "jan13" "jan14" "jan15" "jan16" "jan17" "jan18" "jan19" "jan20" "jan21" "jan22" "jan23" "jan24" "jan25" "jan26" "jan27" "jan28" "jan29" "jan30" "jan31" "feb01" "feb02" "feb03" "feb04" "feb05" "feb06" "feb07" "feb08" "feb09" "feb10" "feb11" "feb12" "feb13" "feb14" "feb15" "feb16" "feb17" "feb18" "feb19" "feb20" "feb21" "feb22" "feb23" "feb24" "feb25" "feb26" "feb27" "feb28" "mar01" "mar02" "mar03" "mar04" "mar05" "mar06" "mar07" "mar08" "mar09" "mar10" "mar11" "mar12" "mar13" "mar14" "mar15" "mar16" "mar17" "mar18" "mar19" "mar20" "mar21" "mar22" "mar23" "mar24" "mar25" "mar26" "mar27" "mar28" "mar29" "mar30" "mar31"
476.070652836672 7482.28726295606 373 0 43.8 0 0 0 0 0 0 3.9 3.2 0 0 0 0 0 0 4.9 9.5 36.3 7.3 12.6 74.3 0 0 6.4 0 0 24.6 0 3.8 4.8 15.8 2.9 3.8 0 8.3 18.7 10.3 9.8 0 17.9 20.7 0 18.3 37 8.4 0 0 0 0 26.9 0 6.4 0 8.3 3.8 0 0 0 43.9 0 8.4 12.6 0 0 0 0 0 0 3.9 3.2 0 0 0 10.4 3.8 0 8.4 2.3 17.3 12.7 0 0 12.6 1.8 0 0 0 3.8 1.3
496.727278740646 7472.89649643747 370 0 0 0 0 0 0 0 0 0 0 0 0 6.5 3.1 3.5 0 25.2 26.9 22.6 12.4 42.5 27.5 0 14.8 0 0 0 0 24.6 11.7 11.3 0 0 0 4.7 4.4 0 0 0 31.4 0.3 19.4 0 62.1 9.7 6.4 0 12.6 0 0 0.9 11.3 0 0 14.6 0 28.8 0 29.5 0 0 0.2 8 0.4 0 1.6 1.7 0 0 0 8.2 0 6.6 0 0 0 0 14.7 0 0 0 6.8 2.6 0 0 0 0 7.1 0 0
418.888661625414 7489.87233905223 373 0 0 0 15.8 0 0 20.7 0 30.2 0 0 4.3 0 0 0 0 18.5 0 22.1 10.3 0 0 0 7.9 10.8 9.1 0 0 0 0 0 0 0 0 0 0 0 56.9 0 29.8 49.2 0 0 0 43.1 0 0 0 7.2 0 0 0 0 0 24.1 0 10.4 40.2 0 40.7 0 0 0 0 0 0 0 0 0 0 0 0 30.9 0 0 0 0 0 0 0 0 15.8 0 0 0 1.5 0 0 15.2 0
434.040700571191 7489.58007852264 377 0 0 0 0 0 0 7.1 11.2 10.3 0 4.8 0 9.9 14.9 0 0 6.8 3.8 23.9 9.7 29.6 19.8 0 0 0 27.5 9.7 0 0 7.9 0 10.1 0 0.5 52.6 0.1 0 23.2 30.2 18.5 9 15.7 0.6 0.5 0 0 2.5 0 0 2.5 0 0 0 0 0 3.6 37.2 23.5 3.7 0 0 0.3 62.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.6 0 0 0 0 0 3.5 2.7 0
438.881844350249 7475.97278585273 500 0 0 0 0 0 0 0 17.8 7.2 0 0 0 4.6 12.2 0 0 8.1 14.4 63 10.2 6.9 27.1 0 0.6 0 0 0 0 0 7.1 0 5 12.7 8.8 8.9 2.3 3.3 51.5 19.3 8.6 19.3 24.2 0 15.2 2.5 3.1 5.9 0 0 0 0 0 0 0 18.7 0 0.6 48.2 0 0 0 4 27.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 0 0 0 0 0.5 11.8 0 0
387.127322289551 7474.53533866624 250 0 0 0 0 0 0 0.2 4.3 26.8 0 1.5 0 0 7 10.1 0 0 0.3 29 16.6 24.9 0 0 0 0 0 13.4 13.3 0 0 0 0 0 0 0 5.3 13.4 15.3 0 0 47.4 3.4 5.8 8.9 16.8 0 0 0 0 0 0 0 0 18.3 0 0 0 43.9 0 0 0 0 11.4 0 0 0 0 0 0 35.5 0 0 0 0 0 0 0 0 0 0 0 8.9 0 0 0 0 0 36.6 0 0
393.435819867084 7505.83549802461 318 0 0 0 0 2 0 0 3.7 0 9.1 0 6.3 0 0 1.2 0 0 44 18.5 6.6 19 5 0 0 0 0.3 3.9 0 0 0 0 6.9 5.2 16.1 35.6 0 0 0 17.1 1.2 50.2 10.1 1.6 17.8 0.6 0 0 5.7 0 0.3 1.8 0 0 0.5 24 0 0 85.2 29.7 8.3 0 3.9 29.8 49.3 0.2 0 0 0 0 18.6 4.2 0 0.9 0 0 0 0 0 0 0 3.1 0 0 0 0 32.7 31.8 0 0 15.5
308.816829061876 7493.56343593622 329 0 0 0.5 0 0 0 3.5 0 0 0 3.5 0 0.5 0 7.1 0 5.3 18.1 0 3.5 114.4 55.7 13 0 0 2.4 47.7 0 0 0 0 0 0 0 13 0.7 0 14.4 7.5 3.3 30.3 18.4 3 31 20.7 0 1.5 0 0 1.8 4.2 0 0 0 0 0 1.1 54.4 10.3 1.3 0 4.7 6.7 28.7 0 0.5 0 0 0 15.7 5.8 0 0 0 0 0 0 0 0 0 0 2.1 0 0 0 0 0 19.5 0 0
344.014812604979 7494.11831381171 333 0 0 0 0 0 0 0 0 19.2 0 0 0 0 2 0 0 0 20.5 7.7 0 9.4 34 0 0 0 0 0 0 0 0 0 0 0 0 42.9 0 3.5 12 8.7 2.5 42 5 10 41 32 0 0 0 0 0 0 0 0 0 0 0 0 48.5 25 0 0 0.5 10 5.5 0 0 0 0 0 0 8.5 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.5 0 10
383.584688249971 7493.58523562977 299 0 0 0 0 0 0 0 0 5 0 0 0 0 0 7 0 25 5 25 0 17 3 0 0 0 3 0 0 0 0 0 1 11 80 5 18 0 21 2 0 37 6 0 35 0 0 0 8 0 0 0 0 0 4 0 0 0 11 30 10 0 34 20 10 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 60 0 0
296.392621410038 7480.94216915775 414 0 0 0 0 0 0 0 0 0 0 14.4 0 0 0 0 0 0 0 0 0 42.2 82.7 20 0 0 16 0 0 0 0 0 0 0 0 0 0 0 20 50 60 0 11.9 5.8 0 22.2 13.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.3 0 0 15.5 0 0 0 0 0 0 0 0 0 6.9 0 0 0 0 0 0 22
334.006399804757 7485.39733029771 437 0 0 19.3 0 0 0 3.4 0 0 0 0 0 0 0 1.9 0 0 14.4 7.1 0 73.2 29.6 0 0 0 0 0 0 0 0 0 0 3.6 0 19.2 0 0 29.6 4.9 2.9 25.7 23.4 44.6 0 0 0 0 0 0 0 0 0 0 1.2 0 0 0 0 13.9 0.7 0 19.7 8.7 0 0 0.8 0 0 1.9 0 3 0 7.5 0 0 0 0 0 4.3 0 0 0 3.3 0 0 0 0 50.2 0 2.9
351.467589988576 7485.52234121011 400 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 10.5 10.1 0.4 0.8 39.9 18.9 14.1 0 0 0 0 0.1 0 0 0 0.2 0.5 0 18.7 0.8 0 12.5 0.4 0 39.1 3.3 0 0 0 0 0 0 0.5 0 0 0 0 50.1 0 0 0 22.4 0 0 0 0.8 21.9 5 0 0 0 0 0 70.9 2.3 0 0 0 0 0 0 0 0 0 0 6.3 6.1 0 0 0 0 58.1 6.1 0.5
361.370368814022 7485.39428449679 420 0 0 0 0 0 0 21 61 0 0 0 0 0 0 0 0 0 0 0 14.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 73 8 0 41.3 27.2 0 0 0 0 0 0 0 0 0 0 0 30 35 0 0 0 0 35 7 0 0 0 0 0 31.2 0 0 0 0 0 0 0 7.8 0 0 0 0 0 0 0 0 21.6 34.3 0 14.4
315.444105531689 7460.88455136204 460 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 4 0 5 48 13 0 0 0 0 0 0 0 0 0 11 0 32 35 4 0 18 8 0 23 12 64 0 28 10.3 0 0 0 0 0 0 8 0 0 1 0 36 0 0 10 18 0 0 0 0 0 0 1 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 19 0 5
342.737419097924 7468.60266357302 410 0 0 16.5 0 0 0 4.1 0 52 0 0 0 0 47.8 0 0 0 22 14.4 28.1 48.7 24.8 18 0 0 0 0 0 0 0 0 0 4.4 0 55.2 0 0 51.5 8 0 26.7 14.3 9.6 16.5 15.5 0 14.4 0 0 0 0 0 0 7.1 0 0 0 0 18.4 0 0 0 6.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.7 0 0 0 1.3 0 0 0 0 0 98 0 0
267.265005738033 7480.5239415938 240 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1 0 21.6 0 12.2 15.2 33.4 0 0 13.2 0 0 10.9 0 0 0 0 0 91.1 0 0 0 0 0 13.2 88.2 0 38.2 50.2 30.4 79.5 0 0 0 0 0 0 0 0 0 22.3 0 0 0 0 42.2 0 0 0 0 0 0 0 7.6 0 0 0 51.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6
278.352177893747 7477.55477045652 419 0 0 0 0 0 0 0 0 0 0 18 3.8 0 0 0 0 2.4 0 1.7 0 3.5 30.6 0 12.7 0 0 14.2 0 0 0 0 0 16.5 19.8 10.1 3.4 0 8.3 49.8 29.8 35 43.8 0 4 19 0 7 0 0 0 0 0 0 0 19.6 0 27.2 8.5 2.8 0 0 0.8 9.7 3.5 0 0.3 0 0 0 4.5 18.2 0 0 0 0 0 0 0 12.9 0 0 0 0 0 0 0 0 79.8 0 4.9
254.317374074009 7457.27470830164 399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.5 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 39.1 0 0 83.2 31.1 3.7 0 0 0 8.9 0 0 0 0 0 7.7 0 9.8 0 14.1 40.4 0 0 10 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 13.2 0 0 0 0 0 0 0 0 0 0 22.5
265.923689673775 7458.34611760715 482 0 0 0 0 0 0 0 0 0 0 38.4 0 0 0 0 0 2.5 6.6 1.3 0 0 33 48.9 0 0 0 0 0 0 0 0 0 0 7.4 84.1 0 0 6.4 54 0 15.7 71.2 29.1 92.1 0 0 0 0 0 0 0 0 0 0 10.8 0 0 0 27 0 0 0 11.2 9.7 0 0 0 0 0 0 33 0 0 0 0 0 0 0 17.4 0 0 120 0 0 0 0 20 0 4 15
291.511591599996 7462.44425275047 488 0 0 0 0 0 0 0 0 0 0 2.9 0.7 3.5 22 0 0 0 3.2 2.3 0 12.2 47.7 0.9 0 0 0 0 0 0 0 17.6 0 4.5 43.3 31.1 12.2 0 7.5 15.3 0 25.2 19.2 5.3 57.8 0 0 0 14.5 0 0 0 0 0 0 0 0 5.1 0 9.1 0 0 14.9 0 19.2 0 0 0 0 0 4.3 37.9 0 0 0 0 0 0 4.7 0 0 0 4.8 0 0 0 0 0 50.2 0 8.6
277.455115042739 7486.21539648099 240 0 0 0 0 0 0 0 0 0 0 0 15.3 1.5 0 0 0 0 1.7 7.7 0.6 11.9 27.7 0 5.2 0 0.5 0 5.5 0 0 0 0 12.6 0 4.2 1 0 11.3 8.9 4.4 23.8 12 2.1 11.4 7.4 0 1.8 0 0 0 0 0 0 0 10.8 0 0 0 0 0.7 0 0 17.1 0.2 0 0 0 0 0 3.9 41.7 0 0 0 0 0 0 0 31.4 0 0 1.1 0 0 0 0 0 45.8 0 1.1
421.836821197377 7378.77677446421 560 0 0 11.1 0 0 0 0 0 0 27.7 7.8 0 11.1 0 0 0 13.3 0 0 6.1 0 62.3 0 13.5 0 0 4.7 0 0 0 13.9 0 0 0 17.9 0 0 28.7 31.1 0 29.7 28.1 32.3 0 0 0 0 0 0 0 0 0 0 3.1 0 4.3 0 0 3.8 0 0 2.1 0 0 0 0 0 0 0 15.1 53.7 0 0 0 0 0 0 0 0 0 0 9.3 0 0 0 0 2.5 71.8 0 47.1
615.715314324461 7400.6722502113 512 0 0.8 1.4 0 0.5 0 3.4 8.9 7.1 0.2 0 2.9 11.8 2.2 0 0 18.3 3.4 10 61.8 7.1 8.2 1.2 1.2 0 0 0.2 0 1.1 22.6 0 4.7 0.2 0.3 16.8 0 0 37.1 4.1 3.1 14.6 0 0 6.5 0 0.3 0 0 5.8 3.4 9.2 0 0 3.7 1.5 2.4 4.4 0 1.2 0 0 4.2 0 0 0 0 1.1 0 0 0 30.5 0 0 0 0 0 0 5.1 0 0 0 2.6 0 0 0 0 27.9 0.5 3.9 1.6
606.992345073265 7371.20749454986 483 0 2.4 1.2 0 0 8.6 0.6 17 2.3 0 0 8.6 21 1.2 0 0 13.1 4 13.2 18.3 7.5 19.4 1.2 0 0 8.3 3.2 0 0 23.2 0 29.2 8.5 2.6 31.6 1.5 0 4.5 2.7 4 4.7 8.3 0 15.4 4.2 9.2 0.3 0.2 0 0.2 3.2 0 0 0 8.4 0 0.4 0 0 0 0 1.4 0 0 0 0 4.2 0 0 0 51 0 0 1.5 0 0 0 6.7 0 0 0 4.5 0 1.4 0 0 20 8.2 3.4 3.5
627.91944674746 7433.79025417529 782 0 0 0 0 0 0 15.4 7.7 0 25.4 0 0 0 0 0 0 10.4 15.3 24.1 34.4 0 10.1 0 0 0 0 0 0 0 0 0 11.4 67.3 51.5 0 0 0 0 9.1 0 12.5 0 0 0 0 6.5 0 0 0 26.3 26.1 0 0 32.4 4.2 0 7.7 0 0 0 0 7.3 0 4.1 0 0 10.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.2 11.4 0
604.131778855322 7410.29236511013 603 0 0 12.3 0 0.4 0 0 3.3 14.3 0 0 0 11.3 0 0 0 16.1 12.1 23.8 60.8 5.6 21.8 11.7 0 0 0 0 0 10.4 14.5 0 3.9 0 0 47.5 0 17.9 12.4 0 13.5 12.5 0 0 11.4 0 1.6 0 0 0 26.8 9 0 8.2 16.1 12.2 18.5 39.1 0 0 0 0 4.3 5.2 0 0 0 11.2 0 0 0 31.5 0 0 0 0 0 0 16.8 0 0 0 0 0 0 0 0 37.3 13.2 16.2 0
627.904658905851 7395.52157685487 563 0 0 0 0 0 0 0 25.5 0 0 0 4.2 24 0 0 0 18.5 0 25.5 35.2 0 25.4 0 0 0 0 0 0 0 2.2 0 0 2.3 0 15.9 0 0 0 48.4 0 15 0 0 0 0 0 0 0 0 8.6 0 0 0 2.6 3.4 0 0 0 14.2 0 0 0 0 0 0 0 0 0 0 0 65.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.2 5.3 0 0
640.380815085246 7372.28451805041 543 0 1.7 0 8.2 0 28.2 2.5 5.4 3.2 0 0 52.6 15 6.2 0 0 7.4 1.5 24.9 25.7 7.3 16.6 0 0 0 0 0 6.9 11.6 9.1 0 99.5 0 0 12.9 0 0 44.7 0 0 0 0 1.2 6.8 0 0 0 0 0 2.4 25.9 0 0 0 14.7 0 0 0 0 0 0 2.3 0 0 0 0 0 0 0 0 55.8 0 14.8 0 0 0 0 7.7 0 0 0 4.5 0 0 0 0 38.8 0 4.8 0
637.409216525541 7354.59421689819 550 0 0 0 0 0 12.3 5.4 0 0 23.4 19.1 33.7 24.8 0 0 0 5.5 0 33.1 23.5 10 27.9 0 0 0 0 0 0 0 1.9 0 1.4 0 3.6 0 0 0 30.1 0 0 0 0 0 4.6 0 0 0 0 0 4.3 7 1.9 0 0 45 3.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.5 0 0 0 0 0 0 45.9 0 0 0 11.3 0 6.9 0 0 29.3 0 3.9 0
573.168040258379 7446.85863584707 375 0 0 0 0 0 0 0 18.2 1.3 0 0 5.1 12 0 0 0 145 5.4 31.2 22.6 3.1 8.2 0 0 0 0.8 4.6 0 0 0 0 2.9 0 0 19.5 0 0 2.4 13.7 9.9 0 0 0 8.8 2.6 12.9 0 0 5.8 1 0 0.9 0 1.1 38.5 1.4 59.1 0 0 0 0 3.3 0 0 0 0 6.7 0 0 0 14.6 0 0 0 0 0 0 0 0 0 0 6.1 1 0 0 0 42 0.6 2.4 0
535.735215153034 7401.0851019351 670 0 5.1 0.3 0 0.2 0 14.1 13.3 14.6 30.7 0 28.5 26.9 0 0 0 34.6 7.5 28 52.2 6.7 23 0 5.8 0 10.4 14.7 0 0 0 0 6.1 2.2 78.1 11.1 0 0 19.3 0 0 9.5 13.5 4.3 77.2 11.6 0 10.5 0 37.5 14.8 0 0 0 0 9.5 0 4.2 0.8 0 0 0 5.3 0 0 0 0 3.6 0 0 0 24.5 0 0 0 0 0 0 10.5 0 0 0 0 3.7 0 0 0 3.3 18.6 0 3.6
595.281299646701 7451.5392222238 422 0 0 5.5 0 0 0 6.4 0 3.2 0 0 13.8 0 0 0 0 48 27.2 31.9 17.2 2.3 0 0 2 5.8 10.7 19.1 0 0 0 0 9 11.2 12.8 18.5 0 0 9 10.5 4.1 7.7 8.2 4.3 0 3.8 67.7 0 7.9 15.6 17.1 0 0 1.8 0 0 0 0 0 0 0 0 2 1.9 1.3 0 0 0 0 0 0 13.1 0 0 0 0 0 0 17.8 0 0 0 0 12.3 13 0 0 1.2 6 19 0
595.436251788316 7422.96222087421 520 0 0 10.4 0 0 0 0 4.3 10.2 0 0 0 47 0.7 4 0 15 1.2 20.5 35.5 4.5 14.2 14.2 0 0 20 0 0 2.5 0 0 0 0 35.9 0.7 0 0 17 0.4 0.7 1 0 0 0.2 0 13 0 12 42 21 12.2 0 0.6 0 0.9 0 55 0 0 0 0 0.9 0.7 0.5 0 0.2 0.3 0 0 0 10.4 0 0 0 0 0 0 15.2 0 0 0 1 0 0 0 0 47 0.5 0.7 0.6
566.564816505719 7445.26205354578 440 0 0.2 11.8 0 0 0 0 8.5 28.8 0.9 1.2 0.2 10.6 0 0 0 129.6 1.6 18.8 10.5 3.6 11.4 0 0 0 22.8 0 0 0 0 0 8.8 3.8 3.5 13.5 0 1.4 8.6 22 0 2 2.1 0 17.7 1.4 11 0 0 5.4 2.6 0 0 0 0 15.1 1.2 15 0 0 0 0 3.5 0.6 2.3 0 0 3.4 0 0.2 0 24.5 0.3 0 9.1 0 0 0 19.4 0 0 0 9.7 3 0 0 0 7.9 1.2 10.3 0
537.503006814857 7417.68688561158 570 0 1 1.5 0 0 0 12.2 69.7 19.4 0 0 0.5 15 3.6 0 0 9.1 11.5 11.8 22.2 22.7 10.9 0 0.5 0 0 0 0 0 0 0 19.8 9.5 15.1 25.9 0 0 4.7 0.5 0 3.1 12.4 0 32.6 4.9 0 0 0 23.7 3.3 0 0 0 5.3 72.2 0.9 0 0 0 0 0 6.1 8.7 2 0 0.3 1.4 0 0 0 59.8 0 0 10.1 0 0 0 0 0 0 0.5 5 10 0.3 0 0 9.8 45.6 16 0.8
520.945843604488 7433.52821131534 458 0 3.6 8.1 0 0 0 0 12.8 8.2 0 0 4.3 12.6 21.8 0 0 22.6 13.9 23.6 18.9 3.8 10.4 1.7 0 0 0 0 0 0 14.8 0 1 4.7 0 8.7 0 0 0.5 0 8.7 7.7 14.2 0 105.6 14.6 16.8 0 1.3 4.6 0 2.6 0 0 0 44.1 17.5 29.1 13.3 0 0 0 1.9 2.2 0.6 0 0 0.5 0 0 4.3 9.6 1.6 0 0 0 0 0 6.9 0 0 0 0 24.5 13.4 0 0 0 9.6 3.8 0
525.15465955052 7447.60307985999 445 0 0 9.1 0 0 0 0 0 0 0 24.2 0 9.2 0 8.1 50.1 9.5 7.8 2 14.2 78.4 8.5 28 2.5 0 1.6 0 0 0 31 0 0 0 0 0 0 0 0 0 0 16 0 0 14.1 20 0 4.5 0 2.3 8.1 0 0 0 0 60.2 3 5.5 5.6 0 0 0 0 0 0 3 4.1 0 0 5.5 13.1 9.2 0 0 0 0 0 0 3.1 0 0 0 5.8 2.5 0 0 0 0 6.1 32 0
558.105536434061 7426.87554609002 471 0 0.3 0 6.2 0 0 20.3 0 0 3 25.4 0 2.5 0 0 20.3 0 26.6 14 41.2 10.1 5.1 0 0 0 0 0 0.3 0 0 0 0 15.7 7.3 0 0 2.6 0 9.4 3.4 0 1.4 0 8.4 7.3 0.5 0 10 25.4 0 0 0 0.3 0 9.9 0 0 0 0 0 0 0 3.6 1.8 0 1.3 0 0 0 0 8.3 0 7.5 0 0 0 0 0 0 0 0 5.8 16.7 0 0 0 28.6 6.7 6.7 3.1
507.776032749053 7412.8724810738 533 0 0 0 0 0 0 0 0 65.5 10.4 0 0 10.3 20.5 0 0 30 0 22.1 30.9 0 65.2 0 0 0 0 0 0 0 12.7 0 3 0 0 0 5.2 0 0 10.3 0 8.5 19.6 2 30.2 13.5 0 0 19 0 0 1.5 0 0 0 16.4 8 0 0 0 0 0 10.3 0 0 0 0 0 6.1 0 0 8 0 0 0 0 0 0 0 0 0 0 15.4 0 0 0 0 0 4.3 0 6
566.416077317333 7412.04960598933 620 0 8.4 32.5 0 0 0 0 18.2 9.2 0 1.5 0 24.5 0 0 0 27.8 10.2 16.5 19.2 6.8 21.3 0 0 4 0 0 0 0 19.9 0 19 8.2 1.2 0 0 2.1 0.6 10.9 2.8 1 1.6 0 9.5 12.4 7.6 0 12.8 90.1 13.9 0 0 0 12.1 9.5 0 0 0 0 0 0 10 3.7 0 0 0 11 0 4 0 14.2 0 0 0 0 0 0 1.8 0 0 0 3.5 6 0 0 0 46.3 3 13.9 4.6
