"rent" "floor.size" "year" "location" "Gute.Wohnlage" "Beste.Wohnlage" "Keine.Wwv" "Keine.Zh" "Kein.Badkach" "Besond.Bad" "Gehobene.Kueche" "zim1" "zim2" "zim3" "zim4" "zim5" "zim6"
9.78 28 1960 79 0 0 0 0 0 0 0 1 0 0 0 0 0
8.74 70 1966 148 0 0 0 0 1 0 0 0 0 1 0 0 0
5.66 105 1970 209 0 0 0 0 0 1 0 0 0 0 0 1 0
9.58 34 1957 28 0 0 0 0 0 0 0 1 0 0 0 0 0
6.86 56 1969 128 1 0 0 0 0 0 0 0 1 0 0 0 0
10.95 25 1957 20 1 0 0 0 0 0 0 1 0 0 0 0 0
8.18 95 1966 306 0 0 0 0 0 0 1 0 0 1 0 0 0
8.03 68 1918 371 1 0 0 0 0 0 0 0 0 1 0 0 0
10.24 77 1998 96 1 0 0 0 0 0 0 0 1 0 0 0 0
8 84 1974 377 0 0 0 0 0 0 0 0 0 1 0 0 0
9.28 70 1957 20 1 0 0 0 0 0 0 0 0 1 0 0 0
3.51 125 1918 363 0 0 0 0 0 0 0 0 0 0 1 0 0
9.44 72 1918 134 1 0 1 0 0 0 0 0 1 0 0 0 0
6.36 79 1918 277 0 0 0 1 1 0 0 0 0 1 0 0 0
9.41 70 1996 176 0 0 0 0 1 0 0 0 1 0 0 0 0
8.79 68 1973 183 0 0 0 0 0 0 0 0 1 0 0 0 0
11.72 44 1924 231 1 0 0 0 0 0 1 0 1 0 0 0 0
12.86 73 1988 151 0 0 0 0 0 0 0 0 0 1 0 0 0
9.31 43 1984 54 0 0 0 0 0 0 0 1 0 0 0 0 0
7.24 60 1966 72 0 0 0 0 1 0 0 0 0 1 0 0 0
9.8 36 1918 30 1 0 0 0 0 0 0 0 1 0 0 0 0
7.43 36 1957 277 0 0 0 0 0 0 0 1 0 0 0 0 0
8.09 67 1960 8 1 0 0 0 0 1 0 0 1 0 0 0 0
4.97 76 1948 39 1 0 0 0 0 0 0 0 0 1 0 0 0
7.6 59 1966 358 0 0 0 0 0 0 0 0 0 1 0 0 0
9.15 60 1971 338 0 0 0 0 0 0 0 0 1 0 0 0 0
12.16 42 1999 298 1 0 0 0 0 0 1 1 0 0 0 0 0
6.29 50 1948 86 0 0 0 0 0 0 0 0 0 1 0 0 0
8.7 67 1991 310 0 0 0 0 0 0 0 0 1 0 0 0 0
8.79 62 1974 139 0 0 0 0 0 0 1 0 1 0 0 0 0
8.76 73 1957 207 0 0 0 0 1 0 0 0 0 1 0 0 0
7.28 61 1957 30 1 0 0 0 0 0 0 0 1 0 0 0 0
8.31 72 1957 127 0 0 0 0 0 0 0 0 0 1 0 0 0
8.18 100 1960 289 0 0 0 0 0 0 0 0 0 0 1 0 0
11.66 75 1992 198 1 0 0 0 0 0 1 0 0 1 0 0 0
2.91 56 1918 218 0 0 1 1 0 0 0 0 1 0 0 0 0
9.74 105 1918 21 1 0 0 0 0 0 0 0 0 1 0 0 0
7.54 53 1973 316 0 0 0 0 0 0 0 0 1 0 0 0 0
8.21 66 1984 361 0 0 0 0 0 0 0 0 1 0 0 0 0
10.65 34 1966 145 1 0 0 0 0 0 0 1 0 0 0 0 0
7.48 72 1972 326 0 0 0 0 0 0 0 0 0 1 0 0 0
9.36 105 1948 375 1 0 0 0 0 1 1 0 0 0 1 0 0
4.97 77 1918 172 0 0 0 0 1 0 0 0 0 1 0 0 0
5.91 56 1957 105 1 0 0 0 1 0 0 0 1 0 0 0 0
11.11 92 1992 272 0 0 0 0 0 0 1 0 0 0 1 0 0
10.12 60 1960 51 1 0 0 0 0 0 0 0 0 1 0 0 0
6.87 87 1924 108 0 0 0 0 0 0 0 0 0 1 0 0 0
6.87 150 1980 310 1 0 0 0 0 1 0 0 0 0 1 0 0
6.28 120 1918 46 0 0 0 0 1 0 0 0 0 0 0 1 0
9.98 55 1995 223 1 0 0 0 0 0 0 1 0 0 0 0 0
4.9 77 1969 54 0 0 0 0 0 0 0 0 0 1 0 0 0
10.56 92 1966 289 0 0 0 0 0 0 0 0 0 1 0 0 0
8.35 46 1957 134 1 0 0 0 0 0 0 0 1 0 0 0 0
7.44 88 1969 120 0 0 0 0 0 0 0 0 0 0 1 0 0
4.24 92 1918 131 1 0 1 1 0 0 0 0 0 1 0 0 0
9.93 51 1957 275 0 0 0 0 0 0 0 0 1 0 0 0 0
9.81 38 1971 136 0 0 0 0 0 0 0 0 1 0 0 0 0
2.77 80 1918 300 0 0 0 0 0 0 0 0 0 1 0 0 0
8.72 78 1985 316 0 0 0 0 0 0 0 0 0 1 0 0 0
5.16 52 1918 84 0 0 0 0 0 0 0 0 1 0 0 0 0
11.3 43 1967 293 1 0 0 0 0 0 0 0 1 0 0 0 0
9.42 33 1966 371 1 0 0 0 1 0 0 0 1 0 0 0 0
8.2 79 1948 145 1 0 0 0 0 0 0 0 0 1 0 0 0
10.57 56 1995 270 1 0 0 0 0 0 0 0 1 0 0 0 0
10.97 82 1918 75 0 0 0 0 0 0 0 0 0 1 0 0 0
9.54 76 1966 151 0 0 0 0 0 0 0 0 0 1 0 0 0
7.89 49 1993 255 1 0 0 0 0 0 0 0 1 0 0 0 0
5.39 115 1918 101 1 0 0 0 1 0 0 0 0 0 0 1 0
7.43 67 1957 358 0 0 0 0 0 0 0 0 1 0 0 0 0
11.77 32 1957 144 1 0 0 0 1 0 0 1 0 0 0 0 0
13.02 121 1997 35 1 0 0 0 0 0 1 0 0 1 0 0 0
9.35 35 1972 289 0 0 0 0 0 0 0 1 0 0 0 0 0
11.56 48 1990 299 1 0 0 0 0 0 0 0 1 0 0 0 0
8.76 100 1966 121 1 0 0 0 0 0 0 0 0 0 1 0 0
8.84 71 1957 255 1 0 0 0 0 0 0 0 1 0 0 0 0
10.02 60 1992 325 1 0 0 0 0 0 0 0 1 0 0 0 0
12.68 28 1972 219 1 0 0 0 0 0 0 1 0 0 0 0 0
7.85 79 1974 207 1 0 0 0 0 0 0 0 0 1 0 0 0
10.83 106 1986 329 1 0 0 0 0 0 0 0 0 1 0 0 0
4.13 74 1918 41 1 0 1 1 0 0 0 0 0 1 0 0 0
10.08 59 2000 287 0 0 0 0 0 0 1 0 1 0 0 0 0
5 52 1948 172 0 0 0 0 0 0 0 0 1 0 0 0 0
9.24 53 1998 317 0 0 0 0 0 1 0 0 1 0 0 0 0
6.06 43 1957 125 0 0 0 0 1 0 0 0 1 0 0 0 0
11.69 55 1960 157 1 0 0 0 0 0 0 1 0 0 0 0 0
7.5 89 1918 363 1 0 0 0 0 0 0 0 1 0 0 0 0
6.66 75 1969 120 0 0 0 0 0 0 0 0 0 1 0 0 0
4.46 69 1957 90 1 0 1 1 1 0 0 0 1 0 0 0 0
12.19 40 1966 298 1 0 0 0 0 0 0 1 0 0 0 0 0
7.11 64 1960 126 0 0 0 0 0 0 0 0 0 1 0 0 0
5.48 62 1948 71 1 0 1 1 1 0 0 0 0 1 0 0 0
12.48 75 1971 93 1 0 0 0 0 0 0 0 0 1 0 0 0
6.86 105 1969 240 0 0 0 0 0 0 0 0 0 0 1 0 0
7 69 1971 120 0 0 0 0 0 0 0 0 0 1 0 0 0
7.01 60 1918 52 0 0 0 0 1 0 0 0 1 0 0 0 0
10.37 54 1993 171 0 0 0 0 0 0 0 0 1 0 0 0 0
8.8 89 1981 293 1 0 0 0 0 0 0 0 0 1 0 0 0
8.98 116 1971 168 0 1 0 0 0 1 0 0 0 1 0 0 0
10.54 64 1924 105 1 0 0 0 0 0 0 0 1 0 0 0 0
6.06 53 1972 218 1 0 0 0 0 0 0 0 1 0 0 0 0
12.92 65 1973 375 1 0 0 0 0 1 0 0 1 0 0 0 0
8.69 48 1966 229 0 0 0 0 0 0 0 0 1 0 0 0 0
9.79 47 1996 68 0 0 0 0 0 0 0 1 0 0 0 0 0
7.5 86 1970 344 0 0 0 0 0 0 0 0 0 1 0 0 0
10.18 80 1918 371 1 0 0 1 1 1 0 0 1 0 0 0 0
8.68 53 1918 371 1 0 0 0 0 0 1 0 1 0 0 0 0
5.26 103 1918 21 1 0 0 0 0 0 0 0 0 0 1 0 0
9.89 30 1957 20 1 0 0 0 0 0 0 1 0 0 0 0 0
9.34 115 2000 91 0 0 0 0 0 1 0 0 0 0 1 0 0
8.37 59 1983 248 0 0 0 0 0 0 0 0 1 0 0 0 0
4.16 43 1957 133 1 0 0 0 0 0 0 1 0 0 0 0 0
8.4 70 1973 138 0 0 0 0 0 0 0 0 0 1 0 0 0
4.63 65 1966 140 0 0 0 0 0 0 0 0 0 1 0 0 0
9 54 1957 20 1 0 0 0 0 0 0 0 1 0 0 0 0
10.38 57 1985 183 0 0 0 0 0 0 0 0 1 0 0 0 0
10.34 62 1948 69 0 0 0 0 0 0 0 0 0 0 1 0 0
9.24 35 1970 231 0 0 0 0 0 0 0 1 0 0 0 0 0
3.24 65 1957 276 0 0 1 0 1 0 0 0 0 1 0 0 0
9.96 90 1918 26 0 0 0 0 0 0 0 0 1 0 0 0 0
8.89 42 1960 349 0 0 0 0 0 0 0 0 1 0 0 0 0
7.22 52 1918 102 1 0 0 0 0 0 0 0 1 0 0 0 0
12.44 52 1996 123 0 0 0 0 0 0 0 0 1 0 0 0 0
10.88 75 1998 292 0 0 0 0 1 0 1 0 0 1 0 0 0
11.53 51 1924 20 1 0 0 0 0 0 0 0 1 0 0 0 0
7.4 56 1967 202 0 0 0 0 1 0 0 0 1 0 0 0 0
10.23 111 1960 145 1 0 0 0 0 0 0 0 0 0 0 1 0
11.98 28 1967 336 0 0 0 0 0 0 0 1 0 0 0 0 0
11.88 68 1924 228 0 1 0 0 0 0 0 0 0 1 0 0 0
7.94 90 1966 167 0 0 0 0 0 0 0 0 0 0 1 0 0
7.4 94 1968 154 0 0 0 0 0 0 0 0 0 0 1 0 0
10.65 50 1957 64 0 0 0 0 0 0 0 0 1 0 0 0 0
5.18 118 1918 131 1 0 1 1 0 0 0 0 0 0 1 0 0
2.87 120 1918 101 1 0 0 0 0 0 0 0 0 1 0 0 0
3.75 52 1924 189 0 0 0 0 1 0 0 0 1 0 0 0 0
9.64 52 1948 94 0 0 0 0 0 0 0 0 1 0 0 0 0
7.79 72 1974 248 1 0 0 0 0 0 0 0 1 0 0 0 0
10.17 34 1970 129 1 0 0 0 1 0 0 1 0 0 0 0 0
7.56 92 1948 366 1 0 0 0 0 0 0 0 0 1 0 0 0
6.37 102 1974 311 0 0 0 0 0 1 0 0 0 0 1 0 0
11.22 70 1998 197 1 0 0 0 0 1 0 0 0 1 0 0 0
6.26 74 1967 69 0 0 0 0 0 0 0 0 0 0 1 0 0
12.2 55 1986 61 1 0 0 0 0 0 0 0 1 0 0 0 0
8.43 65 1993 89 1 0 0 0 0 0 0 0 0 1 0 0 0
7.78 82 1987 81 0 0 0 0 0 0 0 0 0 1 0 0 0
9.52 94 1918 28 0 0 0 1 1 0 0 0 0 1 0 0 0
4.3 30 1966 202 0 0 0 0 0 0 0 1 0 0 0 0 0
6.37 173 1918 35 0 0 0 0 0 1 0 0 0 0 0 1 0
8.96 76 1918 30 1 0 0 0 0 0 0 0 0 1 0 0 0
6.67 52 1960 209 0 0 0 0 1 0 0 0 1 0 0 0 0
9.75 81 1948 96 1 0 0 0 0 0 1 0 0 1 0 0 0
7.05 80 1976 60 0 1 0 0 0 0 0 0 0 1 0 0 0
7.51 102 1957 345 0 0 0 1 0 0 0 0 0 1 0 0 0
10.98 102 1918 133 1 0 0 0 1 0 0 0 0 1 0 0 0
14.12 71 1994 15 0 0 0 0 1 1 0 0 1 0 0 0 0
8.18 125 1924 101 1 0 0 0 0 0 0 0 0 0 0 1 0
7.96 102 1980 14 1 0 0 0 0 0 0 0 0 1 0 0 0
11.21 68 1918 21 1 0 0 0 0 0 1 0 0 1 0 0 0
10.39 64 1973 248 1 0 0 0 0 0 0 0 1 0 0 0 0
10.37 37 1966 76 0 0 0 0 1 1 0 1 0 0 0 0 0
9.38 79 1948 255 1 0 0 0 0 0 0 0 0 1 0 0 0
10.41 75 1918 131 1 0 0 0 0 0 0 0 0 1 0 0 0
5.34 91 1918 52 0 0 0 0 1 0 0 0 0 1 0 0 0
11.36 87 1992 58 1 0 0 0 0 0 0 0 0 1 0 0 0
8.78 55 1957 21 1 0 0 1 0 0 0 0 1 0 0 0 0
6.09 64 1918 30 1 0 0 0 0 0 0 0 1 0 0 0 0
9.8 48 1983 185 0 0 0 0 0 0 0 0 1 0 0 0 0
7.42 76 1978 268 0 0 0 0 0 0 0 0 0 1 0 0 0
6.88 73 1967 310 0 0 0 0 1 0 0 0 0 1 0 0 0
3.17 56 1957 125 0 0 0 1 0 0 0 0 0 1 0 0 0
7.61 62 1960 54 0 0 0 0 0 0 0 0 0 1 0 0 0
5.01 69 1957 8 1 0 0 0 0 0 0 0 1 0 0 0 0
9.59 77 1980 96 1 0 0 0 0 0 0 0 0 1 0 0 0
10.24 34 1966 66 0 0 0 0 0 0 0 1 0 0 0 0 0
8.2 61 1957 26 0 0 0 1 0 0 0 0 1 0 0 0 0
11.35 50 1998 74 1 0 0 0 0 0 0 0 1 0 0 0 0
6.04 88 1918 134 1 0 0 1 1 0 0 0 0 1 0 0 0
7.16 60 1957 326 0 0 0 0 0 0 0 0 1 0 0 0 0
6.85 125 1918 78 0 0 0 0 0 1 0 0 0 1 0 0 0
8.78 65 1960 169 0 1 0 0 0 0 0 0 0 1 0 0 0
9.66 80 1989 176 0 0 0 0 0 0 0 0 0 1 0 0 0
9.06 30 1970 344 0 0 0 0 0 0 0 1 0 0 0 0 0
12.46 57 1991 325 0 0 0 0 0 1 0 0 1 0 0 0 0
7.31 44 1957 369 0 0 0 0 1 0 0 1 0 0 0 0 0
8.81 34 1957 72 0 0 0 0 0 0 0 0 1 0 0 0 0
6.32 51 1948 167 0 0 0 0 1 0 0 0 1 0 0 0 0
6.86 68 1971 349 0 0 0 0 0 0 0 0 0 1 0 0 0
4.56 50 1918 49 0 0 1 1 0 0 0 0 1 0 0 0 0
11.73 100 1998 36 0 1 0 0 0 0 1 0 0 1 0 0 0
5.47 147 1918 34 1 0 0 0 0 0 0 0 0 0 0 0 1
5.87 86 1966 243 0 0 0 0 1 0 0 0 0 0 1 0 0
11.69 49 1966 152 0 0 0 0 0 0 0 0 1 0 0 0 0
6.8 75 1983 320 1 0 0 0 0 0 0 0 0 1 0 0 0
8.64 85 1918 49 0 0 0 0 0 0 0 0 0 0 1 0 0
5.87 39 1966 65 0 0 0 0 0 0 0 1 0 0 0 0 0
7.94 35 1966 187 1 0 0 0 0 0 0 1 0 0 0 0 0
5.44 55 1997 230 0 0 0 0 0 0 0 0 1 0 0 0 0
6.39 65 1966 316 0 0 0 0 0 0 0 0 0 1 0 0 0
9.11 46 1979 21 1 0 0 0 0 0 0 0 1 0 0 0 0
6.66 48 1948 267 0 0 0 0 0 0 0 0 1 0 0 0 0
8.29 75 1985 93 1 0 0 0 0 0 0 0 1 0 0 0 0
10.65 72 1990 146 1 0 0 0 0 0 0 0 0 1 0 0 0
3.22 56 1957 207 0 0 0 1 1 0 0 0 1 0 0 0 0
7 59 1948 71 0 0 0 0 0 0 0 0 1 0 0 0 0
12.48 23 1960 101 1 0 0 0 0 0 0 1 0 0 0 0 0
9.01 53 1998 305 0 0 0 0 0 0 0 0 1 0 0 0 0
7.07 83 1957 64 0 0 0 0 1 0 0 0 0 1 0 0 0
7.16 60 1969 178 0 0 0 0 0 0 0 0 1 0 0 0 0
6.43 62 1966 205 0 0 0 0 0 0 0 0 0 1 0 0 0
8.89 109 1983 217 1 0 0 0 0 1 0 0 0 0 1 0 0
4.14 66 1966 292 0 0 0 0 1 0 0 0 0 1 0 0 0
10.7 86 1966 72 0 0 0 0 0 0 0 0 0 0 1 0 0
9.83 65 1981 327 0 0 0 0 0 0 0 0 1 0 0 0 0
4.7 78 1924 123 0 0 0 1 0 0 0 0 0 1 0 0 0
10.99 63 1957 69 0 0 0 0 0 0 0 0 0 1 0 0 0
9.56 80 2000 110 0 0 0 0 0 1 0 0 0 0 1 0 0
11.88 63 1957 21 1 0 0 1 0 0 0 0 1 0 0 0 0
5.14 57 1966 361 0 0 0 0 0 0 0 0 1 0 0 0 0
12.87 29 1972 134 1 0 0 0 0 0 0 1 0 0 0 0 0
9.04 92 1966 177 0 0 0 0 0 0 1 0 0 1 0 0 0
10.43 69 1985 316 0 0 0 0 0 0 0 0 0 1 0 0 0
5.05 72 1948 102 0 0 0 0 1 0 0 0 0 1 0 0 0
9.08 76 1918 84 0 0 0 0 0 0 0 0 0 1 0 0 0
4.92 100 1918 83 0 0 1 1 1 0 0 0 0 0 1 0 0
8.71 70 1957 21 1 0 0 0 0 0 0 0 1 0 0 0 0
8.03 35 1918 345 0 0 0 0 0 0 0 0 1 0 0 0 0
4.39 102 1918 362 0 0 0 1 0 0 0 0 0 1 0 0 0
8.26 61 1918 41 0 0 0 0 0 0 0 0 1 0 0 0 0
10.07 30 1957 133 1 0 0 0 0 0 0 1 0 0 0 0 0
4.19 42 1948 53 0 0 0 0 0 0 0 0 1 0 0 0 0
9.76 47 1981 212 1 0 0 0 0 0 0 1 0 0 0 0 0
6.65 68 1957 30 1 0 0 0 0 1 0 0 1 0 0 0 0
9.59 62 1918 40 1 0 0 0 0 0 0 0 1 0 0 0 0
8.95 62 1918 123 0 0 0 0 0 1 0 0 1 0 0 0 0
7.98 109 1972 97 1 0 0 0 0 0 1 0 0 0 1 0 0
9.33 50 1968 17 0 0 0 0 0 0 0 0 1 0 0 0 0
8.18 87 1972 129 1 0 0 0 0 0 0 0 0 1 0 0 0
9.8 71 1966 328 1 0 0 0 0 0 0 0 0 1 0 0 0
6.58 80 1976 60 0 1 0 0 0 0 0 0 0 1 0 0 0
3.95 120 1918 72 0 0 0 0 0 0 0 0 0 0 1 0 0
9.81 111 1957 133 1 0 0 0 0 0 0 0 0 0 1 0 0
9.62 59 1987 192 1 0 0 0 0 0 1 0 0 1 0 0 0
8.88 46 1957 94 0 0 0 0 1 0 0 0 1 0 0 0 0
10.59 65 1983 339 0 0 0 0 0 0 0 0 1 0 0 0 0
8.69 43 1957 77 0 0 0 0 0 0 0 0 1 0 0 0 0
11.16 55 1918 41 1 0 0 0 0 0 0 0 1 0 0 0 0
7.17 40 1948 65 0 0 0 0 0 0 0 1 0 0 0 0 0
9.27 100 1970 200 0 0 0 0 0 0 0 0 0 0 1 0 0
7.68 87 1966 187 1 0 0 0 0 0 0 0 0 0 1 0 0
3.85 166 1918 104 1 0 1 0 0 1 0 0 0 0 0 0 1
5.81 62 1918 371 1 0 1 1 0 0 0 0 0 1 0 0 0
4.89 110 1957 57 0 0 0 0 1 1 0 0 0 0 0 1 0
11.7 85 1957 255 1 0 0 0 0 0 0 0 0 0 1 0 0
4.04 61 1924 316 0 0 0 1 0 0 0 0 0 1 0 0 0
9.42 66 1988 223 0 0 0 0 0 0 0 0 1 0 0 0 0
10.23 75 1924 10 1 0 0 0 1 0 0 0 1 0 0 0 0
7.23 75 1924 123 0 0 0 0 1 0 0 0 0 1 0 0 0
6.34 77 1972 209 0 0 0 0 0 0 0 0 0 1 0 0 0
6.36 70 1966 69 0 0 0 0 0 0 0 0 0 1 0 0 0
6.54 79 1957 167 0 0 0 0 1 0 0 0 0 1 0 0 0
7.92 41 1969 243 0 0 0 0 0 0 0 0 1 0 0 0 0
11.33 54 1972 286 0 0 0 0 0 0 1 0 1 0 0 0 0
7.26 90 1918 8 1 0 0 0 1 1 1 0 0 1 0 0 0
10.37 28 1972 8 1 0 0 0 0 0 0 1 0 0 0 0 0
8.43 79 1986 295 1 0 0 0 1 0 0 0 0 1 0 0 0
10.67 88 1980 350 1 0 0 0 0 0 1 0 0 1 0 0 0
6.77 58 1972 193 0 0 0 0 0 0 0 0 1 0 0 0 0
8.52 90 1979 65 0 0 0 0 0 0 0 0 0 1 0 0 0
9.91 32 1970 209 0 0 0 0 0 0 0 1 0 0 0 0 0
8.01 71 1924 127 0 0 0 0 0 0 0 0 0 1 0 0 0
6.16 43 1960 53 0 0 0 0 0 0 0 0 1 0 0 0 0
9.98 42 1948 246 1 0 0 0 0 0 0 0 1 0 0 0 0
11 112 1918 49 1 0 0 0 0 1 1 0 0 0 1 0 0
7.2 62 1974 123 0 0 0 0 0 0 0 0 1 0 0 0 0
8.19 57 1988 289 0 0 0 0 0 0 1 0 1 0 0 0 0
9.37 57 1981 248 0 0 0 0 0 0 0 0 1 0 0 0 0
7.28 73 1972 288 0 0 0 0 0 0 0 0 0 1 0 0 0
14.82 35 1983 191 1 0 0 0 1 0 0 0 1 0 0 0 0
8.39 67 1957 296 1 0 0 0 0 0 0 0 0 1 0 0 0
8.2 53 1980 277 0 0 0 0 1 0 0 0 1 0 0 0 0
7.23 85 1918 29 1 0 0 0 0 0 0 0 1 0 0 0 0
7.69 74 1971 53 0 0 0 0 0 0 0 0 0 1 0 0 0
7.94 36 1948 21 1 0 0 0 1 0 0 1 0 0 0 0 0
9.44 65 1957 49 0 0 0 0 0 0 0 0 0 1 0 0 0
12.38 32 1969 295 1 0 0 0 0 0 0 1 0 0 0 0 0
12.22 72 1988 224 0 1 0 0 1 0 0 0 1 0 0 0 0
9.69 80 1957 274 1 0 0 0 0 0 0 0 0 1 0 0 0
10.17 36 1999 151 0 0 0 0 0 0 0 1 0 0 0 0 0
9.98 83 1918 334 0 0 0 0 0 0 0 0 0 1 0 0 0
8.06 61 1960 290 0 0 0 0 1 0 0 0 0 1 0 0 0
10.29 76 1948 55 0 0 0 0 1 0 0 0 0 1 0 0 0
9.88 30 1971 316 0 0 0 0 0 0 0 1 0 0 0 0 0
11.71 73 1972 144 1 0 0 0 0 1 0 0 0 1 0 0 0
8.1 72 1993 111 0 0 0 0 0 0 0 0 1 0 0 0 0
8.65 87 1966 289 0 0 0 0 1 1 0 0 0 1 0 0 0
8.99 102 1918 42 1 0 0 0 0 1 0 0 0 0 0 1 0
9.2 55 1960 43 1 0 0 0 0 0 0 0 1 0 0 0 0
11.39 27 1985 290 0 0 0 0 0 0 0 1 0 0 0 0 0
8.38 80 1977 105 1 0 0 0 0 0 0 0 0 1 0 0 0
6.28 71 1960 290 0 0 0 0 0 0 0 0 0 1 0 0 0
8.31 85 1918 99 0 1 0 0 0 0 0 0 0 1 0 0 0
9.18 50 1960 101 1 0 0 0 1 1 0 0 1 0 0 0 0
5.96 66 1966 122 0 0 0 0 0 0 0 0 0 1 0 0 0
4.81 83 1960 361 0 0 0 0 1 0 0 0 0 0 1 0 0
11.71 25 1960 255 1 0 0 0 0 0 0 1 0 0 0 0 0
5.8 88 1969 322 0 0 0 0 0 0 0 0 0 0 1 0 0
7.5 60 1966 250 1 0 0 0 0 0 1 0 1 0 0 0 0
6.22 100 1948 192 1 0 0 0 0 0 1 0 0 0 0 0 1
5.63 82 1970 120 0 0 0 0 0 0 0 0 0 1 0 0 0
8.9 93 1939 30 1 0 0 0 0 0 0 0 0 1 0 0 0
8.14 53 1918 28 0 0 0 0 0 0 0 0 1 0 0 0 0
4.49 54 1918 172 0 0 0 0 0 0 0 0 1 0 0 0 0
6.96 96 1924 131 1 0 0 0 1 0 1 0 0 0 1 0 0
8.4 78 1960 133 1 0 0 0 0 0 0 0 0 1 0 0 0
7.79 74 1967 103 0 1 0 0 0 0 0 0 0 1 0 0 0
9.18 53 1973 84 0 0 0 0 0 0 0 0 1 0 0 0 0
9.12 49 1966 81 0 0 0 0 0 0 0 0 1 0 0 0 0
9.83 50 1985 316 0 0 0 0 0 0 0 0 1 0 0 0 0
4.21 105 1998 179 1 0 0 0 0 0 0 0 0 0 1 0 0
8.63 32 1973 152 0 0 0 0 0 0 0 1 0 0 0 0 0
8.27 100 1918 81 0 0 0 0 1 0 0 0 0 1 0 0 0
3.94 57 1918 129 0 0 0 0 0 0 0 0 1 0 0 0 0
11.08 72 1918 346 0 0 0 0 0 0 0 0 1 0 0 0 0
3.87 47 1960 286 0 0 1 1 1 0 0 0 1 0 0 0 0
7.49 65 1957 89 1 0 0 0 1 0 0 0 1 0 0 0 0
7.56 56 1948 127 0 0 0 0 1 0 0 0 1 0 0 0 0
8.86 170 1918 34 0 0 0 0 1 1 0 0 0 0 1 0 0
10.73 45 1924 357 0 0 0 0 0 0 0 0 1 0 0 0 0
9.41 68 1971 234 1 0 0 0 0 0 0 0 0 1 0 0 0
8.56 56 1957 49 1 0 0 1 1 0 0 0 1 0 0 0 0
7.61 121 1924 289 0 0 0 0 0 0 0 0 0 0 1 0 0
7.19 32 1975 316 0 0 0 0 0 0 0 1 0 0 0 0 0
8.64 26 1960 21 1 0 0 1 0 0 0 1 0 0 0 0 0
8.83 146 1973 266 1 0 0 0 0 0 0 1 0 0 0 0 0
