"Station.ID","Date","A","UTMX","UTMY","WS","TEMP","HMIX","PREC","EMI","PM10"
15,"04/10/05",271.7,436.69,5046.69,1.08,285.19,1283.7,5.59,21.79,12
16,"04/10/05",337,386.95,5003.68,1.15,284.78,1167.4,22.48,11.03,7
17,"04/10/05",154,470.41,5031.91,1.55,285.94,855.88,5.19,42.38,12
18,"04/10/05",201.7,483.16,4956.77,1.01,284.92,512.98,5.12,14.43,29
19,"04/10/05",374.9,368.18,4971.65,0.68,284.24,1054.4,12.74,25.9,9
20,"04/10/05",243.6,393.64,4986.79,0.87,284.75,1176.3,10.8,226.41,12
21,"04/10/05",243.6,396.04,4992.42,0.92,285.15,1263.3,14.24,207.42,23
22,"04/10/05",118.5,489,4971.8,1.32,285.47,565.46,6.93,32.13,16
23,"04/10/05",131,454.26,5019.81,1.1,285.9,844.35,7.09,29.52,18
24,"04/10/05",201.4,466.4,5086.6,2.04,286.18,842.23,14.42,21.89,5
1,"05/10/05",95.2,469.45,4972.85,0.97,286,563.61,2.42,39.03,24
2,"05/10/05",164.1,423.48,4950.69,0.64,285.27,465.31,1.92,21.93,12
3,"05/10/05",242.9,490.71,4948.86,0.65,284.26,395.51,2.5,8.16,16
4,"05/10/05",149.9,437.36,4973.34,1.34,285.54,684.87,2.32,34.28,18
5,"05/10/05",405,426.44,5045.66,1.07,285.35,923.42,2.12,37.39,17
6,"05/10/05",257.5,394.6,5001.18,1.12,286.15,1044.8,1.55,49,24
7,"05/10/05",313.2,457.96,5061.46,1.51,285.54,851.72,0,23.69,14
8,"05/10/05",345.2,444.29,5062.64,1.29,284.83,786.77,1.41,15.51,13
9,"05/10/05",331,376.96,4993.48,0.74,285.18,945.89,3.1,24.11,16
10,"05/10/05",280.4,416.65,4985.65,0.94,285.32,971.93,4.7,6.96,15
11,"05/10/05",238.8,399.22,4967.87,0.73,285.68,976.49,4.57,15.7,24
12,"05/10/05",118.3,456.49,4998.42,1.2,286.15,542.28,1.84,29.9,5
13,"05/10/05",124.7,483.36,5028.7,1.16,286.43,319.53,0,9.89,NA
14,"05/10/05",551.6,383.63,4915.52,1.19,283.59,527.93,8.01,28.92,7
15,"05/10/05",271.7,436.69,5046.69,1.21,285.53,823.93,1.12,22.69,21
16,"05/10/05",337,386.95,5003.68,0.89,285.74,995.63,2.13,11.32,16
17,"05/10/05",154,470.41,5031.91,1.44,285.91,347.26,1.51,44.02,14
18,"05/10/05",201.7,483.16,4956.77,0.74,285.27,453.31,3.12,14.96,35
19,"05/10/05",374.9,368.18,4971.65,0.87,285.48,1019.9,3.64,26.99,11
20,"05/10/05",243.6,393.64,4986.79,0.86,285.7,1024.4,3.25,236.07,17
21,"05/10/05",243.6,396.04,4992.42,0.85,286.16,1091.8,2.39,217.3,35
22,"05/10/05",118.5,489,4971.8,0.64,285.69,453.95,3.02,33.06,19
23,"05/10/05",131,454.26,5019.81,1.01,285.85,362.78,2.35,30.76,27
24,"05/10/05",201.4,466.4,5086.6,1.45,286.44,432.17,1.84,22.79,8
1,"06/10/05",95.2,469.45,4972.85,1.26,286.78,846.42,4.35,39.52,25
2,"06/10/05",164.1,423.48,4950.69,0.89,286.19,853.88,0,22.26,12
3,"06/10/05",242.9,490.71,4948.86,0.81,285.37,936.75,3.74,8.28,21
4,"06/10/05",149.9,437.36,4973.34,1.33,286.42,947.82,1.67,34.7,20
5,"06/10/05",405,426.44,5045.66,1.15,285.62,1043.4,9.52,38.01,13
6,"06/10/05",257.5,394.6,5001.18,1.46,286.64,1228.6,5.26,49.58,NA
7,"06/10/05",313.2,457.96,5061.46,1.35,285.76,696.73,3.5,24.03,19
8,"06/10/05",345.2,444.29,5062.64,1.32,285.19,799.58,5.91,15.73,14
9,"06/10/05",331,376.96,4993.48,0.86,285.69,1140.7,6.28,24.39,18
10,"06/10/05",280.4,416.65,4985.65,1.14,286.02,1076.7,4.73,7.03,19
11,"06/10/05",238.8,399.22,4967.87,0.87,286.53,1127.9,0,15.91,24
12,"06/10/05",118.3,456.49,4998.42,1.2,286.68,803.86,4.94,30.36,11
13,"06/10/05",124.7,483.36,5028.7,1.06,286.56,248.53,4.27,9.99,NA
14,"06/10/05",551.6,383.63,4915.52,1.39,284.35,921.38,12.62,29.33,10
15,"06/10/05",271.7,436.69,5046.69,1.26,285.81,966.89,7.98,23.04,21
16,"06/10/05",337,386.95,5003.68,1.32,286.26,1198.8,8.18,11.42,12
17,"06/10/05",154,470.41,5031.91,1.24,286.16,313.07,9.71,44.7,17
18,"06/10/05",201.7,483.16,4956.77,1.11,286.27,721.95,4.13,15.18,39
19,"06/10/05",374.9,368.18,4971.65,0.89,286.08,1130.1,7.58,27.37,12
20,"06/10/05",243.6,393.64,4986.79,0.99,286.34,1203.3,2.87,239.72,21
21,"06/10/05",243.6,396.04,4992.42,1.08,286.66,1292.7,4.5,221.03,35
22,"06/10/05",118.5,489,4971.8,1.11,286.67,692.29,4.29,33.47,24
23,"06/10/05",131,454.26,5019.81,0.97,286.22,359.87,6.45,31.26,24
24,"06/10/05",201.4,466.4,5086.6,1.17,287.11,503.8,0,23.14,10
1,"07/10/05",95.2,469.45,4972.85,2.23,287.48,492.98,8.18,41.6,25
2,"07/10/05",164.1,423.48,4950.69,1.32,286.36,445.29,7.47,23.68,17
3,"07/10/05",242.9,490.71,4948.86,0.7,286.33,917.35,5.22,8.7,22
4,"07/10/05",149.9,437.36,4973.34,1.94,286.57,406.93,10.26,37.07,19
5,"07/10/05",405,426.44,5045.66,1,285.34,830.43,14.19,40.68,15
6,"07/10/05",257.5,394.6,5001.18,1.33,286.25,789.54,11.7,51.99,20
7,"07/10/05",313.2,457.96,5061.46,1.34,285.5,758.38,18.61,25.47,16
8,"07/10/05",345.2,444.29,5062.64,1.35,284.79,702.61,20.71,16.64,13
9,"07/10/05",331,376.96,4993.48,0.59,285.42,767.62,15.08,25.49,17
10,"07/10/05",280.4,416.65,4985.65,1.17,285.9,479.87,15.33,7.37,14
11,"07/10/05",238.8,399.22,4967.87,1.45,286.33,749.09,15.74,16.82,20
12,"07/10/05",118.3,456.49,4998.42,1.54,287.09,419.93,14.33,32.34,9
13,"07/10/05",124.7,483.36,5028.7,1.5,287.15,337.85,7.97,10.42,NA
14,"07/10/05",551.6,383.63,4915.52,1.17,284.36,487.63,43.31,31.07,NA
15,"07/10/05",271.7,436.69,5046.69,1.25,285.55,797.42,16.41,24.54,17
16,"07/10/05",337,386.95,5003.68,1.07,285.93,786.39,14.97,11.89,15
17,"07/10/05",154,470.41,5031.91,1.59,286.46,374.85,18.59,47.52,14
18,"07/10/05",201.7,483.16,4956.77,1.27,287.06,641.22,4.73,16.07,23
19,"07/10/05",374.9,368.18,4971.65,0.79,285.38,745.1,24.09,29.11,11
20,"07/10/05",243.6,393.64,4986.79,0.86,286.05,785.13,16.39,255.31,18
21,"07/10/05",243.6,396.04,4992.42,0.93,286.3,823.65,17.98,236.92,31
22,"07/10/05",118.5,489,4971.8,1.91,287.46,567.85,5.59,35.19,13
23,"07/10/05",131,454.26,5019.81,1.45,286.45,393.66,11.45,33.38,29
24,"07/10/05",201.4,466.4,5086.6,2.4,286.39,569.62,15.03,24.59,12
1,"08/10/05",95.2,469.45,4972.85,1.06,288.17,500.42,0,26.05,27
2,"08/10/05",164.1,423.48,4950.69,0.7,287.77,538.48,0,18.74,NA
3,"08/10/05",242.9,490.71,4948.86,0.7,286.31,385.9,0,6.28,23
4,"08/10/05",149.9,437.36,4973.34,1.33,287.92,858.3,0,29.35,33
5,"08/10/05",405,426.44,5045.66,1.02,287.33,1120.2,0,32.19,19
6,"08/10/05",257.5,394.6,5001.18,1.07,287.88,1138,0,34.24,26
7,"08/10/05",313.2,457.96,5061.46,1.43,287.24,1326.3,0,17.53,14
8,"08/10/05",345.2,444.29,5062.64,1.33,286.84,1202.8,0,11.97,13
9,"08/10/05",331,376.96,4993.48,0.84,286.75,1212.3,0,16.15,20
10,"08/10/05",280.4,416.65,4985.65,1.06,287.46,1030.8,0,5.93,14
11,"08/10/05",238.8,399.22,4967.87,0.72,287.7,1086.7,2.62,14.11,22
12,"08/10/05",118.3,456.49,4998.42,1.2,288.12,457.39,0,25.54,6
13,"08/10/05",124.7,483.36,5028.7,1.2,288.15,698.78,0,7.02,NA
14,"08/10/05",551.6,383.63,4915.52,0.99,286.44,1232.6,2.46,24.09,7
15,"08/10/05",271.7,436.69,5046.69,1.2,287.33,1028.2,0,19.26,16
16,"08/10/05",337,386.95,5003.68,0.87,287.48,1151.2,0,7.08,16
17,"08/10/05",154,470.41,5031.91,1.43,287.61,647.48,0,36.7,12
18,"08/10/05",201.7,483.16,4956.77,0.8,287.23,450.75,1.37,12.22,24
19,"08/10/05",374.9,368.18,4971.65,0.84,287.83,1188.3,0,23.6,7
20,"08/10/05",243.6,393.64,4986.79,0.77,287.82,1161.5,0,187.11,18
21,"08/10/05",243.6,396.04,4992.42,0.78,288.23,1232.4,0,184.5,32
22,"08/10/05",118.5,489,4971.8,0.84,287.81,486.8,1.14,22.45,12
23,"08/10/05",131,454.26,5019.81,0.95,287.79,749.34,0,26.15,24
24,"08/10/05",201.4,466.4,5086.6,1.56,288.98,643.06,0,16.78,NA
1,"09/10/05",95.2,469.45,4972.85,0.84,287.86,917.25,0,22.21,37
2,"09/10/05",164.1,423.48,4950.69,0.65,288.2,949.23,0,15.37,17
3,"09/10/05",242.9,490.71,4948.86,0.66,286.51,992.76,0,5.24,NA
4,"09/10/05",149.9,437.36,4973.34,1.11,288.41,915.36,0,25.09,8
5,"09/10/05",405,426.44,5045.66,0.53,287.93,995.58,0,26.45,34
6,"09/10/05",257.5,394.6,5001.18,0.99,289.25,1076.4,0,26.23,35
7,"09/10/05",313.2,457.96,5061.46,0.96,287.39,997.56,0,14.42,30
8,"09/10/05",345.2,444.29,5062.64,0.86,287.52,997.94,0,9.26,24
9,"09/10/05",331,376.96,4993.48,0.7,287.44,1024.6,0,12.92,30
10,"09/10/05",280.4,416.65,4985.65,0.72,287.95,932.58,0,5.27,5
11,"09/10/05",238.8,399.22,4967.87,0.67,287.58,981.66,0,12.51,34
12,"09/10/05",118.3,456.49,4998.42,0.95,288.83,919.8,0,21.08,24
13,"09/10/05",124.7,483.36,5028.7,0.81,288.64,745.1,0,5.74,NA
14,"09/10/05",551.6,383.63,4915.52,1.02,286.3,945.47,0,18.7,15
15,"09/10/05",271.7,436.69,5046.69,0.64,288.01,959.34,0,15.05,31
16,"09/10/05",337,386.95,5003.68,0.74,288.66,1053.8,0,5.34,NA
17,"09/10/05",154,470.41,5031.91,0.96,288.26,670.21,0,28.38,25
18,"09/10/05",201.7,483.16,4956.77,0.68,286.96,924.04,0,9.6,31
19,"09/10/05",374.9,368.18,4971.65,0.85,288.74,1063.3,0,19.66,22
20,"09/10/05",243.6,393.64,4986.79,0.55,288.56,1050,0,145.86,27
21,"09/10/05",243.6,396.04,4992.42,0.58,289.32,1115.4,0,150.31,43
22,"09/10/05",118.5,489,4971.8,0.74,287.44,854.78,0,18.32,19
23,"09/10/05",131,454.26,5019.81,0.77,288.03,761.15,0,21.82,40
24,"09/10/05",201.4,466.4,5086.6,1.33,289.83,640.42,0,13.96,NA
1,"10/10/05",95.2,469.45,4972.85,1.19,287.09,1065.9,0,37.94,53
2,"10/10/05",164.1,423.48,4950.69,0.81,287.95,1122.8,0,21.19,30
3,"10/10/05",242.9,490.71,4948.86,0.9,285.94,1283.7,0,7.94,46
4,"10/10/05",149.9,437.36,4973.34,1.56,287.89,1019.6,0,32.8,49
5,"10/10/05",405,426.44,5045.66,0.52,286.86,954.81,0,35.98,55
6,"10/10/05",257.5,394.6,5001.18,0.83,288.11,978.56,0,47.61,62
7,"10/10/05",313.2,457.96,5061.46,0.86,285.86,1017.4,0,22.94,44
8,"10/10/05",345.2,444.29,5062.64,0.78,286.13,942.94,0,15.03,54
9,"10/10/05",331,376.96,4993.48,0.42,286.62,882.32,0,23.46,54
10,"10/10/05",280.4,416.65,4985.65,0.82,287.36,983.33,0,6.77,41
11,"10/10/05",238.8,399.22,4967.87,0.68,287.98,998.69,0,15.19,71
12,"10/10/05",118.3,456.49,4998.42,1.28,287.78,1132.6,0,28.86,31
13,"10/10/05",124.7,483.36,5028.7,1.28,287.66,960.67,0,9.66,NA
14,"10/10/05",551.6,383.63,4915.52,0.81,286.45,923.67,0,28,35
15,"10/10/05",271.7,436.69,5046.69,0.71,286.79,979.73,0,21.9,50
16,"10/10/05",337,386.95,5003.68,0.66,287.7,945.41,1.11,11.06,37
17,"10/10/05",154,470.41,5031.91,1.51,287.27,848.09,0,42.53,54
18,"10/10/05",201.7,483.16,4956.77,1.11,286.57,1223.2,0,14.49,40
19,"10/10/05",374.9,368.18,4971.65,0.61,287.58,896.55,0,25.94,51
20,"10/10/05",243.6,393.64,4986.79,0.51,287.84,1000.1,0,227.62,60
21,"10/10/05",243.6,396.04,4992.42,0.61,288.15,1049.7,0,208.71,94
22,"10/10/05",118.5,489,4971.8,1.09,286.93,1009.9,0,32.14,32
23,"10/10/05",131,454.26,5019.81,1.11,286.84,837.12,0,29.65,64
24,"10/10/05",201.4,466.4,5086.6,0.71,287.2,467.48,0,22.02,34
1,"11/10/05",95.2,469.45,4972.85,1.26,286.1,1299.7,0,37.87,66
2,"11/10/05",164.1,423.48,4950.69,0.76,286.62,1231.7,0,21.09,48
3,"11/10/05",242.9,490.71,4948.86,0.9,284.74,1314.8,0,7.93,60
4,"11/10/05",149.9,437.36,4973.34,1.46,286.88,1320.8,0,32.92,52
5,"11/10/05",405,426.44,5045.66,0.42,285.54,1140.3,0,35.77,50
6,"11/10/05",257.5,394.6,5001.18,0.95,286.91,1153.4,0,47.66,55
7,"11/10/05",313.2,457.96,5061.46,1.05,285.74,1150.6,0,22.84,46
8,"11/10/05",345.2,444.29,5062.64,0.84,285.26,1156.9,0,14.96,49
9,"11/10/05",331,376.96,4993.48,0.27,285.69,1087.4,0,23.6,60
10,"11/10/05",280.4,416.65,4985.65,1,286.29,1241,0,6.76,53
11,"11/10/05",238.8,399.22,4967.87,0.74,286.69,1160.2,0,15.23,77
12,"11/10/05",118.3,456.49,4998.42,1.39,287.29,1307.8,0,28.7,41
13,"11/10/05",124.7,483.36,5028.7,1.21,287.35,1110.4,0,9.63,NA
14,"11/10/05",551.6,383.63,4915.52,0.79,285.27,1030.5,0,27.86,60
15,"11/10/05",271.7,436.69,5046.69,0.61,285.94,1155.7,0,21.79,50
16,"11/10/05",337,386.95,5003.68,0.68,286.45,1122.1,0,11.03,45
17,"11/10/05",154,470.41,5031.91,1.41,286.72,976.37,0,42.38,51
18,"11/10/05",201.7,483.16,4956.77,0.99,285.3,1266,0,14.43,58
19,"11/10/05",374.9,368.18,4971.65,0.47,286.59,1125.1,0,25.9,62
20,"11/10/05",243.6,393.64,4986.79,0.54,286.71,1168.9,0,226.41,69
21,"11/10/05",243.6,396.04,4992.42,0.6,287.12,1232.6,0,207.42,102
22,"11/10/05",118.5,489,4971.8,1.06,285.85,1236.6,0,32.13,53
23,"11/10/05",131,454.26,5019.81,1.09,286.53,934.71,0,29.52,67
24,"11/10/05",201.4,466.4,5086.6,1.14,287.06,544.87,0,21.89,34
1,"12/10/05",95.2,469.45,4972.85,0.94,285.55,1293.7,0,39.03,58
2,"12/10/05",164.1,423.48,4950.69,0.61,286.79,1304.6,0,21.93,43
3,"12/10/05",242.9,490.71,4948.86,0.78,284.17,1353.9,0,8.16,64
4,"12/10/05",149.9,437.36,4973.34,1.21,286.82,1316.5,0,34.28,61
5,"12/10/05",405,426.44,5045.66,0.53,285.68,1174.5,0,37.39,48
6,"12/10/05",257.5,394.6,5001.18,0.8,287.38,1224.3,0,49,57
7,"12/10/05",313.2,457.96,5061.46,1.1,285.69,1244.1,0,23.69,42
8,"12/10/05",345.2,444.29,5062.64,0.98,285.38,1224.5,0,15.51,43
9,"12/10/05",331,376.96,4993.48,0.37,285.97,1097.2,0,24.11,64
10,"12/10/05",280.4,416.65,4985.65,0.56,286.43,1228.6,0,6.96,48
11,"12/10/05",238.8,399.22,4967.87,0.53,287.04,1201,0,15.7,79
12,"12/10/05",118.3,456.49,4998.42,0.93,287.27,1233.5,0,29.9,45
13,"12/10/05",124.7,483.36,5028.7,1.14,286.8,1042.3,0,9.89,NA
14,"12/10/05",551.6,383.63,4915.52,0.7,285.24,1266.1,0,28.92,53
15,"12/10/05",271.7,436.69,5046.69,0.75,286.09,1223.2,0,22.69,45
16,"12/10/05",337,386.95,5003.68,0.59,286.79,1162,0,11.32,40
17,"12/10/05",154,470.41,5031.91,1.36,286.83,940.18,0,44.02,54
18,"12/10/05",201.7,483.16,4956.77,0.83,284.76,1350.3,0,14.96,63
19,"12/10/05",374.9,368.18,4971.65,0.41,286.82,1131.1,0,26.99,50
20,"12/10/05",243.6,393.64,4986.79,0.44,287.08,1215.4,0,236.07,59
21,"12/10/05",243.6,396.04,4992.42,0.44,287.55,1271.5,0,217.3,71
22,"12/10/05",118.5,489,4971.8,0.75,285.12,1304.1,0,33.06,56
23,"12/10/05",131,454.26,5019.81,1.01,286.79,922.89,0,30.76,66
24,"12/10/05",201.4,466.4,5086.6,0.85,286.63,615.41,0,22.79,31
1,"13/10/05",95.2,469.45,4972.85,0.46,284.88,852.79,0,39.52,74
2,"13/10/05",164.1,423.48,4950.69,0.53,286.3,913.78,0,22.26,53
3,"13/10/05",242.9,490.71,4948.86,0.71,283.46,1010.3,0,8.28,58
4,"13/10/05",149.9,437.36,4973.34,0.68,286.26,874.68,0,34.7,71
5,"13/10/05",405,426.44,5045.66,0.47,285.58,971.37,0,38.01,72
6,"13/10/05",257.5,394.6,5001.18,0.78,286.8,988.29,0,49.58,92
7,"13/10/05",313.2,457.96,5061.46,0.97,285.46,1028.7,0,24.03,53
8,"13/10/05",345.2,444.29,5062.64,0.83,285.32,1020.4,0,15.73,63
9,"13/10/05",331,376.96,4993.48,0.33,285.22,932.62,0,24.39,85
10,"13/10/05",280.4,416.65,4985.65,0.4,285.88,897.59,0,7.03,67
11,"13/10/05",238.8,399.22,4967.87,0.27,286.14,940.66,0,15.91,95
12,"13/10/05",118.3,456.49,4998.42,0.55,286.31,892.41,0,30.36,60
13,"13/10/05",124.7,483.36,5028.7,0.87,285.85,805.48,0,9.99,NA
14,"13/10/05",551.6,383.63,4915.52,0.56,285.04,844.23,0,29.33,75
15,"13/10/05",271.7,436.69,5046.69,0.71,285.91,991.99,0,23.04,68
16,"13/10/05",337,386.95,5003.68,0.58,286.3,969.9,0,11.42,66
17,"13/10/05",154,470.41,5031.91,1.1,286.12,733.02,0,44.7,63
18,"13/10/05",201.7,483.16,4956.77,0.74,284.19,951.28,0,15.18,62
19,"13/10/05",374.9,368.18,4971.65,0.45,286.12,932.66,0,27.37,86
20,"13/10/05",243.6,393.64,4986.79,0.37,286.48,994.26,0,239.72,81
21,"13/10/05",243.6,396.04,4992.42,0.5,286.98,1045.3,0,221.03,117
22,"13/10/05",118.5,489,4971.8,0.44,284.5,896.54,0,33.47,51
23,"13/10/05",131,454.26,5019.81,0.63,285.96,769.02,0,31.26,88
24,"13/10/05",201.4,466.4,5086.6,0.6,286.48,560.63,0,23.14,34
1,"14/10/05",95.2,469.45,4972.85,0.64,284.89,758.43,0,41.6,88
2,"14/10/05",164.1,423.48,4950.69,0.65,286.11,844.8,0,23.68,68
3,"14/10/05",242.9,490.71,4948.86,0.66,284.05,617.34,0,8.7,81
4,"14/10/05",149.9,437.36,4973.34,0.88,285.94,769.29,0,37.07,78
5,"14/10/05",405,426.44,5045.66,0.66,285.36,869.22,0,40.68,74
6,"14/10/05",257.5,394.6,5001.18,0.77,285.64,779.39,0,51.99,104
7,"14/10/05",313.2,457.96,5061.46,1.04,284.9,868,0,25.47,58
8,"14/10/05",345.2,444.29,5062.64,0.92,285.31,884.3,0,16.64,57
9,"14/10/05",331,376.96,4993.48,0.6,284.27,700.16,0,25.49,95
10,"14/10/05",280.4,416.65,4985.65,0.42,285.23,795.32,0,7.37,66
11,"14/10/05",238.8,399.22,4967.87,0.46,284.64,736.51,0,16.82,111
12,"14/10/05",118.3,456.49,4998.42,0.73,286.08,775.4,0,32.34,63
13,"14/10/05",124.7,483.36,5028.7,0.78,285.5,674.87,0,10.42,NA
